,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 21_level_0,Team,Playing Time
,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Matches,,MP
24,Michael McGovern,nir NIR,GK,39-230,2.0,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Livingston,
25,Miles Welch-Hayes,eng ENG,DF,27-125,3.0,2,161.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Livingston,
26,Danny Lloyd,eng ENG,MF,32-086,4.0,1,83.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Matches,Livingston,
27,Samson Lawal,ng NGA,MF,19-308,2.0,0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Matches,Livingston,
28,Morgan Boyes,wls WAL,DF,22-311,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Livingston,
29,Dylan Bahamboula,cg CGO,"FW,MF",28-281,0.0,0,,,,,,,,,,,Matches,Livingston,
30,Sam Culbert,,MF,,0.0,0,,,,,,,,,,,Matches,Livingston,
31,Calan Ledingham,sct SCO,DF,16-341,0.0,0,,,,,,,,,,,Matches,Livingston,
32,Squad Total,,,28.9,27.0,297,2430.0,27.0,17.0,9.0,26.0,12.0,5.0,7.0,51.0,1.0,,Livingston,
33,Opponent Total,,,27.0,27.0,297,2430.0,27.0,44.0,32.0,76.0,42.0,2.0,5.0,42.0,4.0,,Livingston,
